Timestamp,"Data
",,,
11:27.5,"Roll: -112.44 degrees, Pitch: -87.75 degrees",,,
11:27.5,"Roll: -114.16 degrees, Pitch: -87.57 degrees",,,
11:27.5,"Roll: -115.65 degrees, Pitch: -87.36 degrees",,,
11:27.5,"Roll: -111.74 degrees, Pitch: -87.49 degrees",,,
11:27.5,"Roll: -102.17 degrees, Pitch: -87.89 degrees",,,
11:27.5,"Roll: -133.13 degrees, Pitch: -87.39 degrees",,,
11:27.5,"Roll: -129.66 degrees, Pitch: -87.34 degrees",,,
11:27.5,"Roll: -116.85 degrees, Pitch: -87.61 degrees",,,
11:27.5,"Roll: -126.09 degrees, Pitch: -88.05 degrees",,,
11:27.6,"Roll: -122.47 degrees, Pitch: -87.72 degrees",,,
11:27.6,"Roll: -114.21 degrees, Pitch: -87.52 degrees",,,
11:27.6,"Roll: -114.13 degrees, Pitch: -87.60 degrees",,,
11:27.6,"Roll: -117.47 degrees, Pitch: -87.73 degrees",,,
11:27.6,"Roll: -117.80 degrees, Pitch: -87.49 degrees",,,
11:27.6,"Roll: -117.57 degrees, Pitch: -87.60 degrees",,,
11:27.6,"Roll: -112.71 degrees, Pitch: -87.96 degrees",,,
11:27.6,"Roll: -113.00 degrees, Pitch: -87.49 degrees",,,
11:27.6,"Roll: -115.07 degrees, Pitch: -87.48 degrees",,,
11:27.6,"Roll: -124.76 degrees, Pitch: -87.58 degrees",,,
11:27.7,"Roll: -121.02 degrees, Pitch: -87.54 degrees",,,
11:27.7,"Roll: -117.51 degrees, Pitch: -87.82 degrees",,,
11:27.7,"Roll: -110.48 degrees, Pitch: -87.61 degrees",,,
11:27.7,"Roll: -108.54 degrees, Pitch: -87.72 degrees",,,
11:27.7,"Roll: -119.60 degrees, Pitch: -87.39 degrees",,,
11:27.7,"Roll: -110.56 degrees, Pitch: -87.82 degrees",,,
11:27.7,"Roll: -119.15 degrees, Pitch: -87.74 degrees",,,
11:27.7,"Roll: -111.29 degrees, Pitch: -87.78 degrees",,,
11:27.7,"Roll: -119.20 degrees, Pitch: -87.91 degrees",,,
11:27.8,"Roll: -120.19 degrees, Pitch: -87.44 degrees",,,
11:27.8,"Roll: -129.29 degrees, Pitch: -87.87 degrees",,,
11:27.8,"Roll: -112.90 degrees, Pitch: -87.30 degrees",,,
11:27.8,"Roll: -107.10 degrees, Pitch: -88.16 degrees",,,
11:27.8,"Roll: -118.85 degrees, Pitch: -87.45 degrees",,,
11:27.8,"Roll: -122.72 degrees, Pitch: -87.34 degrees",,,
11:27.8,"Roll: -108.92 degrees, Pitch: -87.52 degrees",,,
11:27.8,"Roll: -115.69 degrees, Pitch: -87.24 degrees",,,
11:27.8,"Roll: -124.35 degrees, Pitch: -87.73 degrees",,,
11:27.9,"Roll: -106.57 degrees, Pitch: -87.78 degrees",,,
11:27.9,"Roll: -110.51 degrees, Pitch: -87.90 degrees",,,
11:27.9,"Roll: -110.36 degrees, Pitch: -87.72 degrees",,,
11:27.9,"Roll: -117.62 degrees, Pitch: -87.73 degrees",,,
