Timestamp,"Data
",,,
00:37.5,"Roll: 31.75 degrees, Pitch: -85.82 degrees",,,
00:37.5,"Roll: -143.49 degrees, Pitch: -63.66 degrees",,,
00:37.5,"Roll: -165.21 degrees, Pitch: -37.37 degrees",,,
00:37.5,"Roll: -161.73 degrees, Pitch: -53.50 degrees",,,
00:37.5,"Roll: -158.16 degrees, Pitch: -64.55 degrees",,,
00:37.6,"Roll: -150.62 degrees, Pitch: -69.50 degrees",,,
00:37.6,"Roll: -134.92 degrees, Pitch: -67.13 degrees",,,
00:37.6,"Roll: -146.03 degrees, Pitch: -53.13 degrees",,,
00:37.6,"Roll: -150.27 degrees, Pitch: -57.92 degrees",,,
00:37.6,"Roll: -153.10 degrees, Pitch: -66.15 degrees",,,
00:37.6,"Roll: -160.29 degrees, Pitch: -76.08 degrees",,,
00:37.6,"Roll: -146.11 degrees, Pitch: -83.46 degrees",,,
00:37.6,"Roll: -104.73 degrees, Pitch: -79.99 degrees",,,
00:37.6,"Roll: -65.66 degrees, Pitch: -78.33 degrees",,,
00:37.7,"Roll: -1.41 degrees, Pitch: -81.66 degrees",,,
00:37.7,"Roll: 29.80 degrees, Pitch: -79.24 degrees",,,
00:37.7,"Roll: 55.46 degrees, Pitch: -83.95 degrees",,,
00:37.7,"Roll: -171.80 degrees, Pitch: -82.32 degrees",,,
00:37.7,"Roll: -151.98 degrees, Pitch: -71.56 degrees",,,
00:37.7,"Roll: -107.31 degrees, Pitch: -76.10 degrees",,,
00:37.7,"Roll: -82.25 degrees, Pitch: -72.91 degrees",,,
00:37.7,"Roll: -65.13 degrees, Pitch: -63.03 degrees",,,
00:37.7,"Roll: -59.58 degrees, Pitch: -54.30 degrees",,,
00:37.8,"Roll: -70.60 degrees, Pitch: -51.86 degrees",,,
00:37.8,"Roll: -88.31 degrees, Pitch: -53.49 degrees",,,
00:37.8,"Roll: -99.01 degrees, Pitch: -48.94 degrees",,,
00:37.8,"Roll: -90.00 degrees, Pitch: -56.27 degrees",,,
00:37.8,"Roll: -71.99 degrees, Pitch: -65.06 degrees",,,
00:37.8,"Roll: -66.94 degrees, Pitch: -65.71 degrees",,,
00:37.8,"Roll: -59.29 degrees, Pitch: -57.87 degrees",,,
00:37.8,"Roll: -70.34 degrees, Pitch: -50.31 degrees",,,
00:37.8,"Roll: -67.57 degrees, Pitch: -54.05 degrees",,,
00:37.9,"Roll: -61.61 degrees, Pitch: -50.13 degrees",,,
00:37.9,"Roll: -54.20 degrees, Pitch: -40.38 degrees",,,
00:37.9,"Roll: -135.05 degrees, Pitch: 5.00 degrees",,,
00:37.9,"Roll: -50.68 degrees, Pitch: -4.69 degrees",,,
00:37.9,"Roll: -54.36 degrees, Pitch: -4.77 degrees",,,
00:37.9,"Roll: -59.24 degrees, Pitch: -15.45 degrees",,,
00:37.9,"Roll: -58.62 degrees, Pitch: -16.86 degrees",,,
00:37.9,"Roll: -51.92 degrees, Pitch: -22.23 degrees",,,
00:37.9,"Roll: -38.09 degrees, Pitch: -44.57 degrees",,,
00:38.0,"Roll: -47.32 degrees, Pitch: -31.31 degrees",,,
00:38.0,"Roll: -46.59 degrees, Pitch: -37.16 degrees",,,
00:38.0,"Roll: -44.33 degrees, Pitch: -37.66 degrees",,,
00:38.0,"Roll: -44.35 degrees, Pitch: -39.22 degrees",,,
00:38.0,"Roll: -37.59 degrees, Pitch: -35.78 degrees",,,
00:38.0,"Roll: -39.78 degrees, Pitch: -36.70 degrees",,,
00:38.0,"Roll: -44.43 degrees, Pitch: -38.17 degrees",,,
00:38.0,"Roll: -47.76 degrees, Pitch: -32.01 degrees",,,
00:38.0,"Roll: -45.39 degrees, Pitch: -31.40 degrees",,,
00:38.0,"Roll: -41.20 degrees, Pitch: -34.41 degrees",,,
00:38.1,"Roll: -38.39 degrees, Pitch: -36.13 degrees",,,
00:38.1,"Roll: -38.90 degrees, Pitch: -36.18 degrees",,,
00:38.1,"Roll: -41.80 degrees, Pitch: -32.80 degrees",,,
00:38.1,"Roll: -42.31 degrees, Pitch: -31.06 degrees",,,
00:38.1,"Roll: -42.42 degrees, Pitch: -29.36 degrees",,,
00:38.1,"Roll: -43.90 degrees, Pitch: -27.56 degrees",,,
00:38.1,"Roll: -43.63 degrees, Pitch: -26.53 degrees",,,
00:38.1,"Roll: -44.89 degrees, Pitch: -25.98 degrees",,,
00:38.1,"Roll: -45.75 degrees, Pitch: -26.26 degrees",,,
00:38.2,"Roll: -46.01 degrees, Pitch: -27.46 degrees",,,
00:38.2,"Roll: -45.51 degrees, Pitch: -28.65 degrees",,,
00:38.2,"Roll: -48.00 degrees, Pitch: -27.75 degrees",,,
00:38.2,"Roll: -50.57 degrees, Pitch: -29.14 degrees",,,
00:38.2,"Roll: -50.28 degrees, Pitch: -30.07 degrees",,,
00:38.2,"Roll: -49.80 degrees, Pitch: -30.28 degrees",,,
00:38.2,"Roll: -51.44 degrees, Pitch: -29.99 degrees",,,
00:38.2,"Roll: -53.01 degrees, Pitch: -28.46 degrees",,,
00:38.2,"Roll: -52.81 degrees, Pitch: -27.44 degrees",,,
00:38.3,"Roll: -53.48 degrees, Pitch: -27.13 degrees",,,
00:38.3,"Roll: -53.87 degrees, Pitch: -26.69 degrees",,,
00:38.3,"Roll: -51.98 degrees, Pitch: -26.75 degrees",,,
00:38.3,"Roll: -50.78 degrees, Pitch: -26.14 degrees",,,
00:38.3,"Roll: -49.77 degrees, Pitch: -24.81 degrees",,,
00:38.3,"Roll: -49.91 degrees, Pitch: -25.23 degrees",,,
00:38.3,"Roll: -48.11 degrees, Pitch: -26.58 degrees",,,
00:38.3,"Roll: -45.60 degrees, Pitch: -28.64 degrees",,,
00:38.3,"Roll: -43.02 degrees, Pitch: -29.64 degrees",,,
00:38.4,"Roll: -41.16 degrees, Pitch: -32.57 degrees",,,
00:38.4,"Roll: -39.99 degrees, Pitch: -35.22 degrees",,,
00:38.4,"Roll: -38.19 degrees, Pitch: -38.63 degrees",,,
00:38.4,"Roll: -35.09 degrees, Pitch: -42.10 degrees",,,
00:38.4,"Roll: -30.49 degrees, Pitch: -43.34 degrees",,,
00:38.4,"Roll: -28.28 degrees, Pitch: -42.96 degrees",,,
00:38.4,"Roll: -26.38 degrees, Pitch: -42.60 degrees",,,
00:38.4,"Roll: -25.48 degrees, Pitch: -38.02 degrees",,,
00:38.4,"Roll: -19.01 degrees, Pitch: -34.27 degrees",,,
00:38.5,"Roll: -5.27 degrees, Pitch: -33.45 degrees",,,
00:38.5,"Roll: 10.16 degrees, Pitch: -34.18 degrees",,,
00:38.5,"Roll: 20.11 degrees, Pitch: -39.02 degrees",,,
00:38.5,"Roll: 34.29 degrees, Pitch: -38.64 degrees",,,
00:38.5,"Roll: 41.65 degrees, Pitch: -36.23 degrees",,,
00:38.5,"Roll: 43.55 degrees, Pitch: -37.61 degrees",,,
00:38.5,"Notification sent: Angle 40 detected",,,
00:38.6,"Notification sent: Angle 50 detected",,,
00:39.1,"Roll: 27.42 degrees, Pitch: -24.13 degrees",,,
00:39.1,"Roll: 27.81 degrees, Pitch: -19.97 degrees",,,
00:39.1,"Roll: 35.12 degrees, Pitch: -11.33 degrees",,,
00:39.1,"Roll: 21.56 degrees, Pitch: -23.70 degrees",,,
00:39.1,"Roll: 6.43 degrees, Pitch: -23.10 degrees",,,
00:39.1,"Roll: 2.44 degrees, Pitch: -9.43 degrees",,,
00:39.1,"Roll: -0.83 degrees, Pitch: -11.63 degrees",,,
00:39.1,"Roll: -7.07 degrees, Pitch: -14.96 degrees",,,
00:39.1,"Roll: -12.28 degrees, Pitch: -15.30 degrees",,,
00:39.2,"Roll: -9.57 degrees, Pitch: -23.49 degrees",,,
00:39.2,"Roll: -24.12 degrees, Pitch: -20.52 degrees",,,
00:39.2,"Roll: -30.30 degrees, Pitch: -20.57 degrees",,,
00:39.2,"Roll: -34.13 degrees, Pitch: -21.03 degrees",,,
00:39.2,"Roll: -40.17 degrees, Pitch: -18.40 degrees",,,
00:39.2,"Roll: -41.53 degrees, Pitch: -16.33 degrees",,,
00:39.2,"Roll: -40.53 degrees, Pitch: -12.67 degrees",,,
00:39.2,"Roll: -39.08 degrees, Pitch: -11.40 degrees",,,
00:39.2,"Roll: -38.54 degrees, Pitch: -13.50 degrees",,,
00:39.3,"Roll: -37.73 degrees, Pitch: -12.47 degrees",,,
00:39.3,"Roll: -38.00 degrees, Pitch: -12.16 degrees",,,
00:39.3,"Roll: -38.91 degrees, Pitch: -13.71 degrees",,,
00:39.3,"Roll: -39.20 degrees, Pitch: -12.92 degrees",,,
00:39.3,"Roll: -36.08 degrees, Pitch: -12.02 degrees",,,
00:39.3,"Roll: -40.79 degrees, Pitch: -10.42 degrees",,,
00:39.3,"Roll: -39.41 degrees, Pitch: -12.84 degrees",,,
00:39.3,"Roll: -38.05 degrees, Pitch: -14.00 degrees",,,
00:39.3,"Roll: -36.33 degrees, Pitch: -13.55 degrees",,,
00:39.4,"Roll: -34.99 degrees, Pitch: -16.06 degrees",,,
00:39.4,"Roll: -35.07 degrees, Pitch: -15.41 degrees",,,
00:39.4,"Roll: -34.19 degrees, Pitch: -17.22 degrees",,,
00:39.4,"Roll: -32.75 degrees, Pitch: -18.98 degrees",,,
00:39.4,"Roll: -33.14 degrees, Pitch: -17.87 degrees",,,
00:39.4,"Roll: -33.03 degrees, Pitch: -18.16 degrees",,,
00:39.4,"Roll: -33.88 degrees, Pitch: -17.14 degrees",,,
00:39.4,"Roll: -33.00 degrees, Pitch: -17.72 degrees",,,
00:39.4,"Roll: -32.74 degrees, Pitch: -17.32 degrees",,,
00:39.5,"Roll: -31.04 degrees, Pitch: -17.69 degrees",,,
00:39.5,"Roll: -30.58 degrees, Pitch: -17.35 degrees",,,
00:39.5,"Roll: -31.16 degrees, Pitch: -17.52 degrees",,,
00:39.5,"Roll: -32.29 degrees, Pitch: -17.06 degrees",,,
00:39.5,"Roll: -32.61 degrees, Pitch: -16.53 degrees",,,
00:39.5,"Roll: -32.74 degrees, Pitch: -16.11 degrees",,,
00:39.5,"Roll: -32.02 degrees, Pitch: -15.81 degrees",,,
00:39.5,"Roll: -31.95 degrees, Pitch: -15.32 degrees",,,
00:39.5,"Roll: -31.58 degrees, Pitch: -14.98 degrees",,,
00:39.6,"Roll: -31.36 degrees, Pitch: -15.67 degrees",,,
00:39.6,"Roll: -30.69 degrees, Pitch: -15.52 degrees",,,
00:39.6,"Roll: -30.16 degrees, Pitch: -16.58 degrees",,,
00:39.6,"Roll: -30.08 degrees, Pitch: -16.66 degrees",,,
00:39.6,"Roll: -29.38 degrees, Pitch: -17.56 degrees",,,
00:39.6,"Roll: -29.78 degrees, Pitch: -17.04 degrees",,,
00:39.6,"Roll: -29.60 degrees, Pitch: -17.14 degrees",,,
00:39.6,"Roll: -30.24 degrees, Pitch: -15.99 degrees",,,
00:39.6,"Roll: -29.76 degrees, Pitch: -16.11 degrees",,,
00:39.7,"Roll: -28.51 degrees, Pitch: -16.67 degrees",,,
00:39.7,"Roll: -28.36 degrees, Pitch: -16.57 degrees",,,
00:39.7,"Roll: -27.82 degrees, Pitch: -17.05 degrees",,,
00:39.7,"Roll: -28.59 degrees, Pitch: -16.71 degrees",,,
00:39.7,"Roll: -29.03 degrees, Pitch: -16.95 degrees",,,
00:39.7,"Roll: -28.97 degrees, Pitch: -16.20 degrees",,,
00:39.7,"Roll: -28.95 degrees, Pitch: -16.05 degrees",,,
00:39.7,"Roll: -28.97 degrees, Pitch: -16.10 degrees",,,
00:39.7,"Roll: -29.44 degrees, Pitch: -15.92 degrees",,,
00:39.8,"Roll: -29.30 degrees, Pitch: -16.01 degrees",,,
00:39.8,"Roll: -29.31 degrees, Pitch: -16.01 degrees",,,
00:39.8,"Roll: -29.33 degrees, Pitch: -15.77 degrees",,,
00:39.8,"Roll: -28.92 degrees, Pitch: -15.66 degrees",,,
00:39.8,"Roll: -28.78 degrees, Pitch: -15.93 degrees",,,
00:39.8,"Roll: -29.16 degrees, Pitch: -15.82 degrees",,,
00:39.8,"Roll: -29.48 degrees, Pitch: -16.01 degrees",,,
00:39.8,"Roll: -28.89 degrees, Pitch: -16.14 degrees",,,
00:39.8,"Roll: -29.46 degrees, Pitch: -16.44 degrees",,,
00:39.9,"Roll: -29.57 degrees, Pitch: -16.55 degrees",,,
00:39.9,"Roll: -29.48 degrees, Pitch: -16.34 degrees",,,
00:39.9,"Roll: -29.21 degrees, Pitch: -17.00 degrees",,,
00:39.9,"Roll: -29.53 degrees, Pitch: -16.25 degrees",,,
00:39.9,"Roll: -28.47 degrees, Pitch: -16.53 degrees",,,
00:39.9,"Roll: -28.21 degrees, Pitch: -16.60 degrees",,,
