Timestamp,Data,,,roll,pitch,count,,,,,,,,,,tanggal,waktu
7/15/2024 8:00,Client 2 data received: roll = 74.24, pitch = -3.63,,74.24,-3.63,,,,,,,,,,,7/15/2024,8:00:33
00:34.3,Client 2 data received: roll = 74.56, pitch = -3.79,,74.56,-3.79,,,,,,,,,,,7/15/2024,8:00:34
00:35.3,Client 2 data received: roll = 74.34, pitch = -3.59,,74.34,-3.59,,,,,,,,,,,7/15/2024,8:00:35
00:36.3,Client 2 data received: roll = 74.17, pitch = -4.47,,74.17,-4.47,,,,,,,,,,,7/15/2024,8:00:36
00:37.3,Client 2 data received: roll = 75.60, pitch = -5.61,,75.6,-5.61,,,,,,,,,,,7/15/2024,8:00:37
00:38.3,Client 2 data received: roll = 75.76, pitch = -5.05,,75.76,-5.05,,,,,,,,,,,7/15/2024,8:00:38
00:39.3,Client 2 data received: roll = 76.37, pitch = -5.61,,76.37,-5.61,ya,,,,,,,,,,7/15/2024,8:00:39
00:40.3,Client 2 data received: roll = 75.34, pitch = -4.99,,75.34,-4.99,,,,,,,,,,,7/15/2024,8:00:40
00:41.3,Client 2 data received: roll = 75.69, pitch = -5.30,,75.69,-5.3,,,,,,,,,,,7/15/2024,8:00:41
00:42.3,Client 2 data received: roll = 75.60, pitch = -5.45,,75.6,-5.45,,,,,,,,,,,7/15/2024,8:00:42
00:43.3,Client 2 data received: roll = 75.43, pitch = -5.32,,75.43,-5.32,,,,,,,,,,,7/15/2024,8:00:43
00:44.4,Client 2 data received: roll = 74.12, pitch = -4.85,,74.12,-4.85,ya,,,,,,,,,,7/15/2024,8:00:44
00:45.3,Client 2 data received: roll = 75.40, pitch = -5.08,,75.4,-5.08,,,,,,,,,,,7/15/2024,8:00:45
00:46.3,Client 2 data received: roll = 75.10, pitch = -5.31,,75.1,-5.31,,,,,,,,,,,7/15/2024,8:00:46
00:47.3,Client 2 data received: roll = 75.84, pitch = -5.45,,75.84,-5.45,,,,,,,,,,,7/15/2024,8:00:47
00:48.3,Client 2 data received: roll = 75.25, pitch = -5.11,,75.25,-5.11,,,,,,,,,,,7/15/2024,8:00:48
00:49.3,Client 2 data received: roll = 75.74, pitch = -5.44,,75.74,-5.44,,,,,,,,,,,7/15/2024,8:00:49
