Timestamp,"Data
"
18:18.6,"Roll: -131.63 degrees, Pitch: -82.87 degrees"
18:18.6,"Roll: -130.03 degrees, Pitch: -82.56 degrees"
18:18.6,"Roll: -133.66 degrees, Pitch: -82.69 degrees"
18:18.6,"Roll: -132.17 degrees, Pitch: -82.93 degrees"
18:18.6,"Roll: -131.13 degrees, Pitch: -82.51 degrees"
18:18.6,"Roll: -131.61 degrees, Pitch: -83.11 degrees"
18:18.6,"Roll: -129.11 degrees, Pitch: -82.78 degrees"
18:18.6,"Roll: -132.62 degrees, Pitch: -82.90 degrees"
18:18.6,"Roll: -128.83 degrees, Pitch: -83.10 degrees"
18:18.7,"Roll: -133.60 degrees, Pitch: -82.64 degrees"
18:18.7,"Roll: -132.01 degrees, Pitch: -82.85 degrees"
18:18.7,"Roll: -103.90 degrees, Pitch: -84.44 degrees"
18:18.7,"Roll: -132.69 degrees, Pitch: -81.25 degrees"
18:18.7,"Roll: -120.44 degrees, Pitch: -81.39 degrees"
18:18.7,"Roll: -106.68 degrees, Pitch: -80.39 degrees"
18:18.7,"Roll: -146.16 degrees, Pitch: -79.12 degrees"
18:18.7,"Roll: -141.40 degrees, Pitch: -82.36 degrees"
18:18.7,"Roll: -21.73 degrees, Pitch: -83.25 degrees"
18:18.8,"Roll: -3.74 degrees, Pitch: -74.42 degrees"
18:18.8,"Roll: -5.17 degrees, Pitch: -65.33 degrees"
18:18.8,"Roll: -151.06 degrees, Pitch: -3.91 degrees"
18:18.8,"Roll: 171.69 degrees, Pitch: -69.58 degrees"
18:18.8,"Roll: -160.61 degrees, Pitch: -44.72 degrees"
18:18.8,"Roll: -149.35 degrees, Pitch: -67.95 degrees"
18:18.8,"Roll: -29.83 degrees, Pitch: -72.43 degrees"
18:18.8,"Roll: 0.20 degrees, Pitch: -77.39 degrees"
18:18.8,"Roll: -163.82 degrees, Pitch: -69.48 degrees"
18:18.9,"Roll: -121.97 degrees, Pitch: -75.28 degrees"
18:18.9,"Roll: -102.80 degrees, Pitch: -85.12 degrees"
18:18.9,"Roll: -136.78 degrees, Pitch: -84.04 degrees"
18:18.9,"Roll: -140.22 degrees, Pitch: -81.04 degrees"
18:18.9,"Roll: -121.27 degrees, Pitch: -84.01 degrees"
18:18.9,"Roll: -135.58 degrees, Pitch: -82.39 degrees"
18:18.9,"Roll: -126.69 degrees, Pitch: -83.04 degrees"
18:18.9,"Roll: -125.69 degrees, Pitch: -83.42 degrees"
18:18.9,"Roll: -134.57 degrees, Pitch: -82.41 degrees"
18:19.0,"Roll: -128.96 degrees, Pitch: -83.56 degrees"
18:19.0,"Roll: -135.74 degrees, Pitch: -82.64 degrees"
18:19.0,"Roll: -126.48 degrees, Pitch: -83.36 degrees"
18:19.0,"Roll: -131.23 degrees, Pitch: -82.98 degrees"
18:19.0,"Roll: -134.34 degrees, Pitch: -82.56 degrees"
18:19.0,"Roll: -126.47 degrees, Pitch: -83.02 degrees"
18:19.0,"Roll: -130.46 degrees, Pitch: -82.97 degrees"
18:19.0,"Roll: -126.76 degrees, Pitch: -83.11 degrees"
18:19.0,"Roll: -134.24 degrees, Pitch: -82.02 degrees"
18:19.1,"Roll: -133.25 degrees, Pitch: -82.84 degrees"
18:19.1,"Roll: -126.82 degrees, Pitch: -83.33 degrees"
18:19.1,"Roll: -135.76 degrees, Pitch: -82.09 degrees"
18:19.1,"Roll: -126.66 degrees, Pitch: -82.81 degrees"
18:19.1,"Roll: -131.31 degrees, Pitch: -82.64 degrees"
18:19.1,"Roll: -130.64 degrees, Pitch: -82.90 degrees"
18:19.1,"Roll: -26.59 degrees, Pitch: -75.93 degrees"
18:19.1,"Roll: -46.66 degrees, Pitch: -83.48 degrees"
18:19.1,"Roll: -147.81 degrees, Pitch: -81.44 degrees"
18:19.2,"Roll: -165.04 degrees, Pitch: -76.38 degrees"
18:19.2,"Roll: -163.17 degrees, Pitch: -75.04 degrees"
18:19.2,"Roll: -11.12 degrees, Pitch: -69.42 degrees"
18:19.2,"Roll: -155.13 degrees, Pitch: -78.03 degrees"
18:19.2,"Roll: -150.27 degrees, Pitch: -78.65 degrees"
18:19.2,"Roll: -160.28 degrees, Pitch: -74.68 degrees"
18:19.2,"Roll: -151.42 degrees, Pitch: -76.00 degrees"
18:19.2,"Roll: -154.84 degrees, Pitch: -78.76 degrees"
18:19.2,"Roll: -140.25 degrees, Pitch: -82.16 degrees"
18:19.3,"Roll: -134.93 degrees, Pitch: -82.55 degrees"
18:19.3,"Roll: -136.64 degrees, Pitch: -82.08 degrees"
18:19.3,"Roll: -112.42 degrees, Pitch: -82.81 degrees"
18:19.3,"Roll: -89.30 degrees, Pitch: -82.72 degrees"
18:19.3,"Roll: -86.29 degrees, Pitch: -80.78 degrees"
18:19.3,"Roll: -98.83 degrees, Pitch: -80.68 degrees"
18:19.3,"Roll: -118.68 degrees, Pitch: -80.05 degrees"
18:19.3,"Roll: -157.04 degrees, Pitch: -70.89 degrees"
18:19.3,"Roll: -159.65 degrees, Pitch: -72.80 degrees"
18:19.4,"Roll: -163.85 degrees, Pitch: -67.84 degrees"
18:19.4,"Roll: -165.08 degrees, Pitch: -54.63 degrees"
18:19.4,"Roll: -166.18 degrees, Pitch: -55.50 degrees"
18:19.4,"Roll: -169.08 degrees, Pitch: -59.18 degrees"
18:19.4,"Roll: -154.15 degrees, Pitch: -79.53 degrees"
18:19.4,"Roll: -176.19 degrees, Pitch: -72.69 degrees"
18:19.4,"Roll: -170.71 degrees, Pitch: -61.04 degrees"
18:19.4,"Roll: -173.54 degrees, Pitch: -53.73 degrees"
18:19.4,"Roll: 176.02 degrees, Pitch: -40.70 degrees"
18:19.5,"Roll: 173.48 degrees, Pitch: -35.26 degrees"
18:19.5,"Roll: 173.76 degrees, Pitch: -36.82 degrees"
18:19.5,"Roll: 173.44 degrees, Pitch: -35.57 degrees"
18:19.5,"Roll: 169.75 degrees, Pitch: -44.50 degrees"
18:19.5,"Roll: 175.87 degrees, Pitch: -57.39 degrees"
18:19.5,"Roll: -169.67 degrees, Pitch: -60.15 degrees"
18:19.5,"Roll: -160.54 degrees, Pitch: -69.41 degrees"
18:19.5,"Roll: -158.50 degrees, Pitch: -77.99 degrees"
18:19.5,"Roll: -154.12 degrees, Pitch: -75.48 degrees"
18:19.6,"Roll: -154.89 degrees, Pitch: -67.54 degrees"
18:19.6,"Roll: -163.88 degrees, Pitch: -63.45 degrees"
18:19.6,"Roll: 172.14 degrees, Pitch: -62.47 degrees"
18:19.6,"Roll: 144.84 degrees, Pitch: -43.43 degrees"
18:19.6,"Roll: 144.63 degrees, Pitch: -49.85 degrees"
18:19.6,"Roll: 165.78 degrees, Pitch: -51.96 degrees"
18:19.6,"Roll: 164.75 degrees, Pitch: -31.99 degrees"
18:19.6,"Roll: 154.25 degrees, Pitch: -32.46 degrees"
18:19.6,"Roll: 149.58 degrees, Pitch: -32.59 degrees"
18:19.6,"Roll: 152.15 degrees, Pitch: -38.80 degrees"
18:19.7,"Roll: 125.35 degrees, Pitch: -63.52 degrees"
18:19.7,"Roll: 145.82 degrees, Pitch: -56.94 degrees"
18:19.7,"Roll: 134.88 degrees, Pitch: -67.71 degrees"
18:19.7,"Roll: 124.39 degrees, Pitch: -70.38 degrees"
18:19.7,"Roll: 167.48 degrees, Pitch: -69.61 degrees"
18:19.7,"Roll: -170.72 degrees, Pitch: -76.64 degrees"
18:19.7,"Roll: -137.52 degrees, Pitch: -82.22 degrees"
18:19.7,"Roll: -103.17 degrees, Pitch: -74.27 degrees"
18:19.7,"Roll: -102.37 degrees, Pitch: -75.83 degrees"
18:19.8,"Roll: -98.95 degrees, Pitch: -74.54 degrees"
18:19.8,"Roll: -101.52 degrees, Pitch: -73.87 degrees"
18:19.8,"Roll: -95.48 degrees, Pitch: -70.72 degrees"
18:19.8,"Roll: -89.89 degrees, Pitch: -68.54 degrees"
18:19.8,"Roll: -89.44 degrees, Pitch: -66.55 degrees"
18:19.8,"Roll: -93.55 degrees, Pitch: -64.88 degrees"
18:19.8,"Roll: -92.35 degrees, Pitch: -62.13 degrees"
18:19.8,"Roll: -67.05 degrees, Pitch: -65.14 degrees"
18:19.8,"Roll: -63.97 degrees, Pitch: -59.51 degrees"
18:19.9,"Roll: -58.20 degrees, Pitch: -58.05 degrees"
18:19.9,"Roll: -56.28 degrees, Pitch: -60.53 degrees"
18:19.9,"Roll: -44.32 degrees, Pitch: -54.82 degrees"
18:19.9,"Roll: -44.77 degrees, Pitch: -55.75 degrees"
18:19.9,"Roll: -40.14 degrees, Pitch: -50.44 degrees"
18:19.9,"Roll: -42.18 degrees, Pitch: -49.87 degrees"
18:19.9,"Roll: -46.37 degrees, Pitch: -50.28 degrees"
18:19.9,"Roll: -35.61 degrees, Pitch: -51.47 degrees"
18:19.9,"Roll: -32.54 degrees, Pitch: -51.62 degrees"
18:20.0,"Roll: -30.36 degrees, Pitch: -51.11 degrees"
18:20.0,"Roll: -37.09 degrees, Pitch: -50.12 degrees"
18:20.0,"Roll: -38.53 degrees, Pitch: -43.59 degrees"
18:20.0,"Roll: -57.29 degrees, Pitch: -48.08 degrees"
18:20.0,"Roll: -25.65 degrees, Pitch: -38.43 degrees"
18:20.0,"Roll: -18.13 degrees, Pitch: -39.62 degrees"
18:20.0,"Roll: -9.81 degrees, Pitch: -37.98 degrees"
18:20.0,"Roll: -5.15 degrees, Pitch: -38.94 degrees"
18:20.0,"Roll: -4.53 degrees, Pitch: -42.33 degrees"
