waktu,,,roll,pitch,,count
18:18.9,Client 2 data received: roll,=,67.98,-7.23,,
18:19.9,Client 2 data received: roll,=,67.76,-9.25,,
18:20.9,Client 2 data received: roll,=,68.51,-10.06,,ya
18:21.9,Client 2 data received: roll,=,69.01,-9.09,,
18:22.9,Client 2 data received: roll,=,69.05,-9.57,,ya
18:23.9,Client 2 data received: roll,=,68.68,-9.8,,
18:24.9,Client 2 data received: roll,=,68.52,-10.7,,ya
18:25.9,Client 2 data received: roll,=,69.22,-10.08,,ya
18:26.9,Client 2 data received: roll,=,70.63,-9.98,,
18:27.9,Client 2 data received: roll,=,69.23,-10.43,,ya
18:28.9,Client 2 data received: roll,=,68.76,-9.91,,
18:29.9,Client 2 data received: roll,=,70.14,-10.06,,
18:30.9,Client 2 data received: roll,=,70.22,-10.7,,ya
18:31.9,Client 2 data received: roll,=,69.24,-10.78,,ya
18:32.9,Client 2 data received: roll,=,69.62,-9.47,,
18:33.9,Client 2 data received: roll,=,69.59,-9.94,,ya
18:34.9,Client 2 data received: roll,=,69.97,-9.13,,ya
18:37.0,Client 2 data received: roll,=,67.81,-9.64,,ya
18:37.9,Client 2 data received: roll,=,68.5,-9.57,,
18:39.0,Client 2 data received: roll,=,68.96,-10.35,,ya
18:40.0,Client 2 data received: roll,=,69.48,-10.53,,
18:41.0,Client 2 data received: roll,=,70.2,-10.57,,ya
18:42.0,Client 2 data received: roll,=,70.3,-9.77,,ya
18:43.0,Client 2 data received: roll,=,69.35,-9.37,,
18:44.0,Client 2 data received: roll,=,70.16,-9.97,,ya
18:45.0,Client 2 data received: roll,=,69.08,-9.86,,
18:46.0,Client 2 data received: roll,=,69.89,-9.37,,ya
18:47.0,Client 2 data received: roll,=,69.79,-10.43,,
18:48.0,Client 2 data received: roll,=,70.7,-9.17,,ya
18:49.0,Client 2 data received: roll,=,70.03,-8.93,,
18:50.0,Client 2 data received: roll,=,68.1,-8.7,,ya
18:51.0,Client 2 data received: roll,=,103.41,0.38,,tidak
18:52.0,Client 2 data received: roll,=,99.71,-2.77,,
18:53.0,Client 2 data received: roll,=,98.59,-2.52,,
18:54.0,Client 2 data received: roll,=,97.71,-2.84,,tidak
18:55.0,Client 2 data received: roll,=,97.79,-2.63,,
18:56.0,Client 2 data received: roll,=,47.59,-7.79,,
18:57.0,Client 2 data received: roll,=,60.85,-7.12,,ya
18:58.0,Client 2 data received: roll,=,63.39,-6.17,,
18:59.0,Client 2 data received: roll,=,63.97,-7.27,,ya
19:00.0,Client 2 data received: roll,=,65.42,-6.91,,ya
19:01.0,Client 2 data received: roll,=,64.94,-7.48,,
19:02.0,Client 2 data received: roll,=,65.42,-7.36,,
19:03.0,Client 2 data received: roll,=,67.74,-7.45,,ya
19:04.0,Client 2 data received: roll,=,65.56,-7.11,,ya
19:05.0,Client 2 data received: roll,=,67.03,-6.98,,
19:06.0,Client 2 data received: roll,=,66.13,-6.68,,
19:07.0,Client 2 data received: roll,=,66.09,-5.8,,ya
19:08.0,Client 2 data received: roll,=,66.34,-6.99,,
19:09.1,Client 2 data received: roll,=,67.75,-6.1,,ya
19:10.1,Client 2 data received: roll,=,64.87,-7.6,,ya
19:11.0,Client 2 data received: roll,=,66.49,-6.95,,
19:12.1,Client 2 data received: roll,=,65.35,-7.14,,ya
19:13.1,Client 2 data received: roll,=,67.6,-7.25,,
19:14.1,Client 2 data received: roll,=,67.69,-7.22,,ya
19:15.1,Client 2 data received: roll,=,67.73,-6.75,,
19:16.1,Client 2 data received: roll,=,69.95,-7.34,,ya
19:17.1,Client 2 data received: roll,=,68.3,-7.71,,
19:18.1,Client 2 data received: roll,=,68.4,-6.38,,ya
