Timestamp,Data
57:53.4,"ets Jul 29 2019 12:21:46"
57:53.4,""
57:53.4,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
57:53.4,"configsip: 0, SPIWP:0xee"
57:53.4,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
57:53.4,"mode:DIO, clock div:1"
57:53.4,"load:0x3fff0030,len:1448"
57:53.4,"load:0x40078000,len:14844"
57:53.4,"ho 0 tail 12 room 4"
57:53.4,"load:0x40080400,len:4"
57:53.4,"load:0x40080404,len:3356"
57:53.4,"entry 0x4008059c"
57:54.4,"Starting BLE server"
57:54.4,"Select Mode: 1 / 2"
57:54.4,"1. Pull-Up"
57:54.4,"2. Chin-Up"
58:03.1,"Client connected"
59:17.7,"Client disconnected"
59:24.7,"ets Jul 29 2019 12:21:46"
59:24.7,""
59:24.7,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
59:24.7,"configsip: 0, SPIWP:0xee"
59:24.7,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
59:24.7,"mode:DIO, clock div:1"
59:24.7,"load:0x3fff0030,len:1448"
59:24.7,"load:0x40078000,len:14844"
59:24.7,"ho 0 tail 12 room 4"
59:24.7,"load:0x40080400,len:4"
59:24.7,"load:0x40080404,len:3356"
59:24.7,"entry 0x4008059c"
59:25.8,"Starting BLE server"
59:25.8,"Select Mode: 1 / 2"
59:25.8,"1. Pull-Up"
59:25.8,"2. Chin-Up"
59:43.5,"Client connected"
59:53.5,"Client connected"
00:19.1,"Client connected"
00:25.7,"Mode selected: Chin-Up"
00:33.3,"Menerima data dari BLE clients..."
00:33.3,"Client 2 data received: roll = 74.24, pitch = -3.63"
00:33.3,"Client 2: condition met"
00:34.3,"Client 2 data received: roll = 74.56, pitch = -3.79"
00:34.3,"Client 2: condition met"
00:35.3,"Client 2 data received: roll = 74.34, pitch = -3.59"
00:35.3,"Client 2: condition met"
00:36.3,"Client 2 data received: roll = 74.17, pitch = -4.47"
00:36.3,"Client 2: condition met"
00:37.3,"Client 2 data received: roll = 75.60, pitch = -5.61"
00:37.3,"Client 2: condition met"
00:38.3,"Client 2 data received: roll = 75.76, pitch = -5.05"
00:38.3,"Client 2: condition met"
00:38.5,"Client 1: angle 40 detected"
00:39.3,"Client 2 data received: roll = 76.37, pitch = -5.61"
00:39.3,"Client 2: condition met"
00:39.3,Chin Up COUNTED
00:39.3,Chin Up Count: 1
00:40.3,"Client 2 data received: roll = 75.34, pitch = -4.99"
00:40.3,"Client 2: condition met"
00:41.3,"Client 2 data received: roll = 75.69, pitch = -5.30"
