waktu,,,,roll,pitch,count
27:45.7,Client 2 data received: roll = 97.31, pitch = -5.20,, 97.31,,
27:46.6,Client 2 data received: roll = 97.60, pitch = -5.16,, 97.60,,
27:47.7,Client 2 data received: roll = 99.69, pitch = -9.00,, 99.69,,
27:48.6,Client 2 data received: roll = 99.41, pitch = -10.34,, 99.41,,ya
27:49.6,Client 2 data received: roll = 99.26, pitch = -9.37,, 99.26,,
27:50.6,Client 2 data received: roll = 99.88, pitch = -8.99,, 99.88,,
27:51.6,Client 2 data received: roll = 99.38, pitch = -9.13,, 99.38,,
27:52.7,Client 2 data received: roll = 100.87, pitch = -8.92,, 100.87,,
27:53.7,Client 2 data received: roll = 100.46, pitch = -9.11,, 100.46,,
27:54.7,Client 2 data received: roll = 99.59, pitch = -8.52,, 99.59,,ya
27:55.7,Client 2 data received: roll = 100.62, pitch = -8.50,, 100.62,,
27:56.7,Client 2 data received: roll = 100.90, pitch = -8.52,, 100.90,,
27:57.7,Client 2 data received: roll = 101.13, pitch = -8.74,, 101.13,,
27:58.7,Client 2 data received: roll = 101.61, pitch = -8.82,, 101.61,,
27:59.7,Client 2 data received: roll = 101.09, pitch = -8.37,, 101.09,,ya
28:00.7,Client 2 data received: roll = 102.20, pitch = -8.58,, 102.20,,
28:02.7,Client 2 data received: roll = 101.38, pitch = -8.42,, 101.38,,
28:03.7,Client 2 data received: roll = 100.45, pitch = -8.15,, 100.45,,
28:04.7,Client 2 data received: roll = 101.33, pitch = -8.81,, 101.33,,
28:05.7,Client 2 data received: roll = 101.66, pitch = -9.32,, 101.66,,ya
28:06.7,Client 2 data received: roll = 102.25, pitch = -7.96,, 102.25,,
28:07.7,Client 2 data received: roll = 101.91, pitch = -8.29,, 101.91,,
28:08.7,Client 2 data received: roll = 102.22, pitch = -8.09,, 102.22,,
28:09.7,Client 2 data received: roll = 101.72, pitch = -8.44,, 101.72,,
28:10.7,Client 2 data received: roll = 101.56, pitch = -8.14,, 101.56,,
28:11.7,Client 2 data received: roll = 102.49, pitch = -8.39,, 102.49,,ya
28:12.7,Client 2 data received: roll = 102.49, pitch = -8.00,, 102.49,,
28:13.7,Client 2 data received: roll = 101.93, pitch = -8.21,, 101.93,,
28:14.7,Client 2 data received: roll = 102.44, pitch = -8.13,, 102.44,,
28:16.7,Client 2 data received: roll = 101.62, pitch = -8.26,, 101.62,,
28:17.7,Client 2 data received: roll = 101.89, pitch = -8.30,, 101.89,,ya
28:18.7,Client 2 data received: roll = 103.27, pitch = -8.35,, 103.27,,
28:19.7,Client 2 data received: roll = 102.49, pitch = -8.29,, 102.49,,
28:20.7,Client 2 data received: roll = 102.90, pitch = -8.45,, 102.90,,
28:21.7,Client 2 data received: roll = 102.96, pitch = -8.10,, 102.96,,
28:22.7,Client 2 data received: roll = 102.47, pitch = -7.97,, 102.47,,
28:23.7,Client 2 data received: roll = 102.31, pitch = -8.53,, 102.31,,ya
28:24.7,Client 2 data received: roll = 103.09, pitch = -7.77,, 103.09,,
28:25.8,Client 2 data received: roll = 102.51, pitch = -8.26,, 102.51,,
28:26.7,Client 2 data received: roll = 102.43, pitch = -8.16,, 102.43,,
28:27.7,Client 2 data received: roll = 102.16, pitch = -7.70,, 102.16,,
28:28.7,Client 2 data received: roll = 101.19, pitch = -7.46,, 101.19,,ya
28:29.7,Client 2 data received: roll = 102.47, pitch = -7.39,, 102.47,,
28:30.8,Client 2 data received: roll = 102.75, pitch = -7.09,, 102.75,,
28:31.8,Client 2 data received: roll = 102.09, pitch = -7.62,, 102.09,,
28:32.8,Client 2 data received: roll = 102.56, pitch = -7.48,, 102.56,,
28:33.8,Client 2 data received: roll = 102.22, pitch = -8.16,, 102.22,,ya
28:34.8,Client 2 data received: roll = 93.19, pitch = -10.84,, 93.19,,
28:37.0,Client 2 data received: roll = 64.60, pitch = -6.52,, 64.60,,
28:37.9,Client 2 data received: roll = 65.37, pitch = -7.58,, 65.37,,tidak
28:38.1,Client 2 data received: roll = 64.81, pitch = -6.99,, 64.81,,
28:40.9,Client 2 data received: roll = 66.91, pitch = -7.15,, 66.91,,
28:41.7,Client 2 data received: roll = 65.35, pitch = -6.80,, 65.35,,
28:41.7,Client 2 data received: roll = 65.98, pitch = -7.16,, 65.98,,
28:41.8,Client 2 data received: roll = 44.58, pitch = -7.37,, 44.58,,
28:42.8,Client 2 data received: roll = 0.28, pitch = -5.88,, 0.28,,
28:43.8,Client 2 data received: roll = 3.09, pitch = -5.53,, 3.09,,tidak
28:44.9,Client 2 data received: roll = 4.97, pitch = -4.29,, 4.97,,
