waktu,,,,roll,count
37:00.3,Client 2 data received: roll = 99.35, pitch = -0.86,, 99.35,
37:01.3,Client 2 data received: roll = 99.71, pitch = -1.30,, 99.71,
37:02.3,Client 2 data received: roll = 101.32, pitch = -1.72,, 101.32,
37:03.3,Client 2 data received: roll = 100.61, pitch = -2.90,, 100.61,
37:04.3,Client 2 data received: roll = 100.63, pitch = -1.87,, 100.63,ya
37:05.3,Client 2 data received: roll = 100.84, pitch = -2.41,, 100.84,
37:06.3,Client 2 data received: roll = 100.94, pitch = -2.66,, 100.94,
37:07.3,Client 2 data received: roll = 101.81, pitch = -1.95,, 101.81,
37:08.4,Client 2 data received: roll = 101.49, pitch = -2.42,, 101.49,
37:09.3,Client 2 data received: roll = 100.19, pitch = -2.67,, 100.19,
37:10.3,Client 2 data received: roll = 101.70, pitch = -3.07,, 101.70,
37:11.3,Client 2 data received: roll = 101.16, pitch = -2.14,, 101.16,
37:12.3,Client 2 data received: roll = 101.19, pitch = -3.04,, 101.19,ya
37:13.3,Client 2 data received: roll = 100.58, pitch = -2.99,, 100.58,
37:14.4,Client 2 data received: roll = 100.88, pitch = -2.55,, 100.88,
37:15.4,Client 2 data received: roll = 101.05, pitch = -2.37,, 101.05,
37:16.4,Client 2 data received: roll = 101.41, pitch = -2.91,, 101.41,
37:17.4,Client 2 data received: roll = 100.85, pitch = -2.43,, 100.85,
37:18.4,Client 2 data received: roll = 100.66, pitch = -2.57,, 100.66,
37:19.4,Client 2 data received: roll = 101.01, pitch = -2.42,, 101.01,
37:20.4,Client 2 data received: roll = 101.42, pitch = -2.91,, 101.42,
37:21.4,Client 2 data received: roll = 101.31, pitch = -3.91,, 101.31,ya
37:22.4,Client 2 data received: roll = 101.44, pitch = -2.88,, 101.44,
37:23.4,Client 2 data received: roll = 101.21, pitch = -3.07,, 101.21,
37:24.4,Client 2 data received: roll = 101.16, pitch = -2.74,, 101.16,
37:25.4,Client 2 data received: roll = 100.34, pitch = -3.16,, 100.34,
37:26.4,Client 2 data received: roll = 101.18, pitch = -2.65,, 101.18,
37:27.4,Client 2 data received: roll = 100.70, pitch = -2.84,, 100.70,
37:28.4,Client 2 data received: roll = 101.31, pitch = -2.87,, 101.31,
37:29.4,Client 2 data received: roll = 101.00, pitch = -2.85,, 101.00,
37:30.4,Client 2 data received: roll = 102.62, pitch = -4.76,, 102.62,ya
37:31.4,Client 2 data received: roll = 100.36, pitch = -2.92,, 100.36,
37:32.4,Client 2 data received: roll = 100.89, pitch = -3.09,, 100.89,
37:33.4,Client 2 data received: roll = 100.79, pitch = -3.16,, 100.79,
37:34.4,Client 2 data received: roll = 100.31, pitch = -2.61,, 100.31,
37:35.4,Client 2 data received: roll = 101.21, pitch = -3.06,, 101.21,
37:36.4,Client 2 data received: roll = 100.68, pitch = -2.69,, 100.68,
37:37.4,Client 2 data received: roll = 100.89, pitch = -3.27,, 100.89,
37:38.4,Client 2 data received: roll = 100.49, pitch = -3.01,, 100.49,
37:39.4,Client 2 data received: roll = 100.42, pitch = -3.27,, 100.42,
37:40.4,Client 2 data received: roll = 100.50, pitch = -1.91,, 100.50,ya
37:41.4,Client 2 data received: roll = 100.51, pitch = -2.94,, 100.51,
37:42.5,Client 2 data received: roll = 100.73, pitch = -3.25,, 100.73,
37:43.4,Client 2 data received: roll = 101.10, pitch = -3.58,, 101.10,
37:44.5,Client 2 data received: roll = 100.34, pitch = -3.54,, 100.34,
37:45.5,Client 2 data received: roll = 100.03, pitch = -3.16,, 100.03,
37:46.4,Client 2 data received: roll = 100.48, pitch = -3.21,, 100.48,
37:47.5,Client 2 data received: roll = 101.07, pitch = -3.76,, 101.07,
37:48.5,Client 2 data received: roll = 99.91, pitch = -3.36,, 99.91,
37:49.4,Client 2 data received: roll = 100.59, pitch = -2.98,, 100.59,
37:50.5,Client 2 data received: roll = 101.39, pitch = -3.48,, 101.39,ya
37:51.5,Client 2 data received: roll = 100.66, pitch = -3.53,, 100.66,
37:52.5,Client 2 data received: roll = 100.73, pitch = -3.35,, 100.73,
37:53.5,Client 2 data received: roll = 100.54, pitch = -3.24,, 100.54,
37:54.5,Client 2 data received: roll = 99.75, pitch = -3.66,, 99.75,
37:55.5,Client 2 data received: roll = 101.03, pitch = -3.58,, 101.03,
37:56.5,Client 2 data received: roll = 99.97, pitch = -3.24,, 99.97,
37:57.5,Client 2 data received: roll = 100.13, pitch = -3.24,, 100.13,
37:58.5,Client 2 data received: roll = 100.64, pitch = -2.74,, 100.64,ya
37:59.5,Client 2 data received: roll = 99.92, pitch = -3.26,, 99.92,
38:00.5,Client 2 data received: roll = 100.27, pitch = -3.22,, 100.27,
