Timestamp,"Data
"
37:02.5,"Roll: -169.42 degrees, Pitch: -67.33 degrees"
37:02.5,"Roll: -169.56 degrees, Pitch: -67.69 degrees"
37:02.5,"Roll: -170.00 degrees, Pitch: -66.31 degrees"
37:02.5,"Roll: -174.00 degrees, Pitch: -65.38 degrees"
37:02.5,"Roll: -176.35 degrees, Pitch: -67.05 degrees"
37:02.5,"Roll: -174.70 degrees, Pitch: -68.48 degrees"
37:02.5,"Roll: -170.81 degrees, Pitch: -69.86 degrees"
37:02.5,"Roll: -169.12 degrees, Pitch: -71.78 degrees"
37:02.5,"Roll: -167.78 degrees, Pitch: -72.45 degrees"
37:02.6,"Roll: -169.16 degrees, Pitch: -73.43 degrees"
37:02.6,"Roll: -168.29 degrees, Pitch: -71.47 degrees"
37:02.6,"Roll: -166.88 degrees, Pitch: -70.50 degrees"
37:02.6,"Roll: -167.51 degrees, Pitch: -69.27 degrees"
37:02.6,"Roll: -166.12 degrees, Pitch: -69.29 degrees"
37:02.6,"Roll: -170.17 degrees, Pitch: -69.91 degrees"
37:02.6,"Roll: -171.49 degrees, Pitch: -70.35 degrees"
37:02.6,"Roll: -172.95 degrees, Pitch: -70.74 degrees"
37:02.6,"Roll: -173.07 degrees, Pitch: -70.94 degrees"
37:02.7,"Roll: -171.32 degrees, Pitch: -70.79 degrees"
37:02.7,"Roll: -171.36 degrees, Pitch: -71.23 degrees"
37:02.7,"Roll: -171.04 degrees, Pitch: -71.82 degrees"
37:02.7,"Roll: -170.83 degrees, Pitch: -72.11 degrees"
37:02.7,"Roll: -169.49 degrees, Pitch: -71.67 degrees"
37:02.7,"Roll: -165.35 degrees, Pitch: -69.89 degrees"
37:02.7,"Roll: -164.98 degrees, Pitch: -68.14 degrees"
37:02.7,"Roll: -171.00 degrees, Pitch: -70.08 degrees"
37:02.7,"Roll: -176.76 degrees, Pitch: -72.23 degrees"
37:02.8,"Roll: -173.30 degrees, Pitch: -71.95 degrees"
37:02.8,"Roll: -170.88 degrees, Pitch: -73.16 degrees"
37:02.8,"Roll: -166.80 degrees, Pitch: -71.65 degrees"
37:02.8,"Roll: -165.52 degrees, Pitch: -72.44 degrees"
37:02.8,"Roll: -170.66 degrees, Pitch: -69.09 degrees"
37:02.8,"Roll: -163.55 degrees, Pitch: -68.45 degrees"
37:02.8,"Roll: -159.48 degrees, Pitch: -75.07 degrees"
37:02.8,"Roll: -167.53 degrees, Pitch: -67.90 degrees"
37:02.8,"Roll: -175.14 degrees, Pitch: -63.48 degrees"
37:02.9,"Roll: -175.38 degrees, Pitch: -63.33 degrees"
37:02.9,"Roll: -169.26 degrees, Pitch: -73.93 degrees"
37:02.9,"Roll: -160.32 degrees, Pitch: -63.18 degrees"
37:02.9,"Roll: -141.73 degrees, Pitch: -68.56 degrees"
37:02.9,"Roll: -119.94 degrees, Pitch: -70.44 degrees"
37:02.9,"Roll: -114.44 degrees, Pitch: -68.31 degrees"
37:02.9,"Roll: -124.23 degrees, Pitch: -66.46 degrees"
37:02.9,"Roll: -129.51 degrees, Pitch: -77.02 degrees"
37:02.9,"Roll: -152.53 degrees, Pitch: -68.44 degrees"
37:03.0,"Roll: -135.77 degrees, Pitch: -77.52 degrees"
37:03.0,"Roll: -73.60 degrees, Pitch: -79.30 degrees"
37:03.0,"Roll: -44.97 degrees, Pitch: -75.26 degrees"
37:03.0,"Roll: -33.37 degrees, Pitch: -73.15 degrees"
37:03.0,"Roll: -37.31 degrees, Pitch: -73.21 degrees"
37:03.0,"Roll: -39.60 degrees, Pitch: -73.65 degrees"
37:03.0,"Roll: -44.70 degrees, Pitch: -75.09 degrees"
37:03.0,"Roll: -54.05 degrees, Pitch: -77.02 degrees"
37:03.0,"Roll: -62.60 degrees, Pitch: -75.77 degrees"
37:03.1,"Roll: -64.56 degrees, Pitch: -74.69 degrees"
37:03.1,"Roll: -67.68 degrees, Pitch: -73.28 degrees"
37:03.1,"Roll: -73.85 degrees, Pitch: -71.34 degrees"
37:03.1,"Roll: -82.25 degrees, Pitch: -68.09 degrees"
37:03.1,"Roll: -75.36 degrees, Pitch: -66.59 degrees"
37:03.1,"Roll: -54.76 degrees, Pitch: -62.78 degrees"
37:03.1,"Roll: -45.66 degrees, Pitch: -60.23 degrees"
37:03.1,"Roll: -37.85 degrees, Pitch: -42.67 degrees"
37:03.1,"Roll: -34.72 degrees, Pitch: -40.07 degrees"
37:03.1,"Roll: -39.11 degrees, Pitch: -36.25 degrees"
37:03.2,"Roll: -39.31 degrees, Pitch: -36.10 degrees"
37:03.2,"Roll: -32.79 degrees, Pitch: -60.73 degrees"
37:03.2,"Roll: -28.94 degrees, Pitch: -23.09 degrees"
37:03.2,"Roll: -38.77 degrees, Pitch: -26.98 degrees"
37:03.2,"Roll: -42.13 degrees, Pitch: -19.39 degrees"
37:03.2,"Roll: -35.42 degrees, Pitch: -22.53 degrees"
37:03.2,"Roll: -38.95 degrees, Pitch: -29.81 degrees"
37:03.2,"Roll: -41.93 degrees, Pitch: -35.54 degrees"
37:03.2,"Roll: -52.19 degrees, Pitch: -40.15 degrees"
37:03.3,"Roll: -58.62 degrees, Pitch: -52.48 degrees"
37:03.3,"Roll: -41.42 degrees, Pitch: -46.86 degrees"
37:03.3,"Roll: -39.64 degrees, Pitch: -37.75 degrees"
37:03.3,"Roll: -33.62 degrees, Pitch: -46.24 degrees"
37:03.3,"Roll: -33.54 degrees, Pitch: -41.82 degrees"
37:03.3,"Roll: -33.30 degrees, Pitch: -37.38 degrees"
37:03.3,"Roll: -30.15 degrees, Pitch: -37.20 degrees"
37:03.3,"Roll: -30.14 degrees, Pitch: -37.16 degrees"
37:03.3,"Roll: -26.40 degrees, Pitch: -37.30 degrees"
37:03.4,"Roll: -24.74 degrees, Pitch: -36.59 degrees"
37:03.4,"Roll: -23.64 degrees, Pitch: -37.77 degrees"
37:03.4,"Roll: -25.28 degrees, Pitch: -35.95 degrees"
37:03.4,"Roll: -26.22 degrees, Pitch: -31.44 degrees"
37:03.4,"Roll: -30.64 degrees, Pitch: -26.64 degrees"
37:03.4,"Roll: -33.16 degrees, Pitch: -28.78 degrees"
37:03.4,"Roll: -34.16 degrees, Pitch: -26.70 degrees"
37:03.4,"Roll: -33.23 degrees, Pitch: -27.36 degrees"
37:03.4,"Roll: -31.49 degrees, Pitch: -26.38 degrees"
37:03.5,"Roll: -29.72 degrees, Pitch: -26.57 degrees"
37:03.5,"Roll: -30.06 degrees, Pitch: -18.81 degrees"
37:03.5,"Roll: -33.66 degrees, Pitch: -22.10 degrees"
37:03.5,"Roll: -31.57 degrees, Pitch: -25.01 degrees"
37:03.5,"Roll: -30.01 degrees, Pitch: -28.12 degrees"
37:03.5,"Roll: -35.54 degrees, Pitch: -13.92 degrees"
37:03.5,"Roll: -25.65 degrees, Pitch: -16.71 degrees"
37:03.5,"Roll: -25.73 degrees, Pitch: -19.85 degrees"
37:03.5,"Roll: -20.06 degrees, Pitch: -16.82 degrees"
37:03.6,"Roll: -22.96 degrees, Pitch: -12.09 degrees"
37:03.6,"Roll: -26.87 degrees, Pitch: -16.10 degrees"
37:03.6,"Roll: -30.40 degrees, Pitch: -16.53 degrees"
37:03.6,"Roll: -33.12 degrees, Pitch: -12.36 degrees"
37:03.6,"Roll: -31.73 degrees, Pitch: -14.95 degrees"
37:03.6,"Roll: -27.35 degrees, Pitch: -17.94 degrees"
37:03.6,"Roll: -25.80 degrees, Pitch: -20.15 degrees"
37:03.6,"Roll: -24.41 degrees, Pitch: -15.48 degrees"
37:03.6,"Roll: -24.05 degrees, Pitch: -12.69 degrees"
37:03.7,"Roll: -24.16 degrees, Pitch: -10.83 degrees"
37:03.7,"Roll: -22.38 degrees, Pitch: -8.51 degrees"
37:03.7,"Roll: -21.49 degrees, Pitch: -5.92 degrees"
37:03.7,"Roll: -21.50 degrees, Pitch: -5.28 degrees"
37:03.7,"Roll: -21.67 degrees, Pitch: -5.58 degrees"
37:03.7,"Roll: -20.43 degrees, Pitch: -5.45 degrees"
37:03.7,"Roll: -20.02 degrees, Pitch: -6.58 degrees"
37:03.7,"Roll: -20.64 degrees, Pitch: -8.85 degrees"
37:03.7,"Roll: -20.68 degrees, Pitch: -9.66 degrees"
37:03.8,"Roll: -20.37 degrees, Pitch: -9.60 degrees"
37:03.8,"Roll: -21.15 degrees, Pitch: -9.34 degrees"
37:03.8,"Roll: -22.06 degrees, Pitch: -8.73 degrees"
37:03.8,"Roll: -22.97 degrees, Pitch: -7.45 degrees"
37:03.8,"Roll: -21.76 degrees, Pitch: -7.59 degrees"
37:03.8,"Roll: -22.35 degrees, Pitch: -6.85 degrees"
37:03.8,"Roll: -24.32 degrees, Pitch: -6.94 degrees"
37:03.8,"Roll: -24.60 degrees, Pitch: -7.42 degrees"
37:03.8,"Roll: -23.26 degrees, Pitch: -9.40 degrees"
