Timestamp,"Data
"
44:30.6,"Roll: -91.99 degrees, Pitch: -76.88 degrees"
44:30.6,"Roll: -91.21 degrees, Pitch: -85.25 degrees"
44:30.6,"Roll: -79.26 degrees, Pitch: -85.35 degrees"
44:30.6,"Roll: -159.44 degrees, Pitch: -89.37 degrees"
44:30.6,"Roll: 54.36 degrees, Pitch: -88.05 degrees"
44:30.6,"Roll: 167.83 degrees, Pitch: -87.47 degrees"
44:30.6,"Roll: 122.85 degrees, Pitch: -86.64 degrees"
44:30.6,"Roll: 143.40 degrees, Pitch: -83.04 degrees"
44:30.6,"Roll: 131.19 degrees, Pitch: -80.34 degrees"
44:30.6,"Roll: 65.93 degrees, Pitch: -72.05 degrees"
44:30.7,"Roll: 70.47 degrees, Pitch: -66.72 degrees"
44:30.7,"Roll: 73.33 degrees, Pitch: -67.01 degrees"
44:30.7,"Roll: 67.31 degrees, Pitch: -68.59 degrees"
44:30.7,"Roll: 58.93 degrees, Pitch: -71.29 degrees"
44:30.7,"Roll: 33.28 degrees, Pitch: -70.32 degrees"
44:30.7,"Roll: 18.28 degrees, Pitch: -62.48 degrees"
44:30.7,"Roll: 16.07 degrees, Pitch: -57.32 degrees"
44:30.7,"Roll: 15.55 degrees, Pitch: -49.89 degrees"
44:30.7,"Roll: 13.69 degrees, Pitch: -46.03 degrees"
44:30.9,"Roll: 7.79 degrees, Pitch: -42.56 degrees"
44:30.9,"Roll: 3.35 degrees, Pitch: -38.44 degrees"
44:30.9,"Roll: -4.46 degrees, Pitch: -40.67 degrees"
44:30.9,"Roll: -20.59 degrees, Pitch: -40.62 degrees"
44:30.9,"Roll: -38.87 degrees, Pitch: -38.56 degrees"
44:30.9,"Roll: -18.27 degrees, Pitch: -30.27 degrees"
44:30.9,"Roll: -8.69 degrees, Pitch: -35.08 degrees"
44:30.9,"Roll: -13.50 degrees, Pitch: -27.55 degrees"
44:30.9,"Roll: -14.77 degrees, Pitch: -31.73 degrees"
44:30.9,"Roll: -14.98 degrees, Pitch: -32.31 degrees"
44:30.9,"Roll: -14.64 degrees, Pitch: -34.13 degrees"
44:30.9,"Roll: -14.31 degrees, Pitch: -30.61 degrees"
44:30.9,"Roll: -15.67 degrees, Pitch: -31.02 degrees"
44:30.9,"Roll: -20.67 degrees, Pitch: -18.96 degrees"
44:30.9,"Roll: -16.53 degrees, Pitch: -28.75 degrees"
44:30.9,"Roll: -14.46 degrees, Pitch: -24.83 degrees"
44:30.9,"Roll: -15.82 degrees, Pitch: -21.25 degrees"
44:30.9,"Roll: -16.91 degrees, Pitch: -29.19 degrees"
44:31.0,"Roll: -28.35 degrees, Pitch: -14.02 degrees"
44:31.0,"Roll: -28.23 degrees, Pitch: -5.89 degrees"
44:31.0,"Roll: -17.68 degrees, Pitch: -12.77 degrees"
44:31.0,"Roll: -16.83 degrees, Pitch: -7.72 degrees"
44:31.0,"Roll: -18.44 degrees, Pitch: -10.87 degrees"
44:31.0,"Roll: -20.51 degrees, Pitch: -7.96 degrees"
44:31.0,"Roll: -22.23 degrees, Pitch: -9.53 degrees"
44:31.0,"Roll: -30.82 degrees, Pitch: -14.01 degrees"
44:31.0,"Roll: -38.32 degrees, Pitch: -4.03 degrees"
44:31.1,"Roll: -35.99 degrees, Pitch: 4.67 degrees"
44:31.1,"Roll: -31.13 degrees, Pitch: -6.40 degrees"
44:31.1,"Roll: -37.06 degrees, Pitch: 2.75 degrees"
44:31.1,"Roll: -38.58 degrees, Pitch: 4.53 degrees"
44:31.1,"Roll: -33.22 degrees, Pitch: 9.32 degrees"
44:31.1,"Roll: -31.46 degrees, Pitch: 9.53 degrees"
44:31.1,"Roll: -31.71 degrees, Pitch: 11.53 degrees"
44:31.1,"Roll: -31.85 degrees, Pitch: 9.64 degrees"
44:31.1,"Roll: -30.41 degrees, Pitch: 9.56 degrees"
44:31.2,"Roll: -25.68 degrees, Pitch: 9.56 degrees"
44:31.2,"Roll: -24.40 degrees, Pitch: 8.36 degrees"
44:31.2,"Roll: -23.53 degrees, Pitch: 7.78 degrees"
44:31.2,"Roll: -22.65 degrees, Pitch: 8.75 degrees"
44:31.2,"Roll: -22.57 degrees, Pitch: 9.37 degrees"
44:31.2,"Roll: -23.94 degrees, Pitch: 11.56 degrees"
44:31.2,"Roll: -21.45 degrees, Pitch: 12.08 degrees"
44:31.2,"Roll: -21.42 degrees, Pitch: 12.27 degrees"
44:31.2,"Roll: -19.51 degrees, Pitch: 10.37 degrees"
44:31.3,"Roll: -11.67 degrees, Pitch: 1.25 degrees"
44:31.3,"Roll: -11.49 degrees, Pitch: 5.86 degrees"
44:31.3,"Roll: -6.64 degrees, Pitch: 5.46 degrees"
44:31.3,"Roll: -5.65 degrees, Pitch: 3.78 degrees"
44:31.3,"Roll: -4.48 degrees, Pitch: 2.63 degrees"
44:31.3,"Roll: -3.03 degrees, Pitch: 4.47 degrees"
44:31.3,"Roll: -2.37 degrees, Pitch: 6.85 degrees"
44:31.3,"Roll: -3.24 degrees, Pitch: 9.27 degrees"
44:31.3,"Roll: -3.45 degrees, Pitch: 5.17 degrees"
44:31.4,"Roll: 3.16 degrees, Pitch: -2.60 degrees"
44:31.4,"Roll: 9.17 degrees, Pitch: -5.21 degrees"
44:31.4,"Roll: 14.32 degrees, Pitch: 0.90 degrees"
44:31.4,"Roll: 13.83 degrees, Pitch: -3.25 degrees"
44:31.4,"Roll: 13.14 degrees, Pitch: -3.99 degrees"
44:31.4,"Roll: 15.64 degrees, Pitch: -1.12 degrees"
44:31.4,"Roll: 18.27 degrees, Pitch: 1.83 degrees"
44:31.4,"Roll: 20.87 degrees, Pitch: 5.10 degrees"
44:31.4,"Roll: 21.83 degrees, Pitch: 7.05 degrees"
44:31.5,"Roll: 23.37 degrees, Pitch: 5.38 degrees"
44:31.5,"Roll: 29.19 degrees, Pitch: -0.73 degrees"
44:31.5,"Roll: 37.20 degrees, Pitch: -3.77 degrees"
44:31.5,"Notification sent: Angle 40 detected"
44:31.6,"Notification sent: Angle 50 detected"
44:32.0,"Roll: 21.92 degrees, Pitch: -9.01 degrees"
44:32.0,"Roll: 14.37 degrees, Pitch: -16.99 degrees"
44:32.0,"Roll: 8.72 degrees, Pitch: -18.58 degrees"
44:32.0,"Roll: 3.74 degrees, Pitch: -12.73 degrees"
44:32.0,"Roll: -0.34 degrees, Pitch: -17.22 degrees"
44:32.0,"Roll: -5.30 degrees, Pitch: -22.24 degrees"
44:32.0,"Roll: -8.87 degrees, Pitch: -22.19 degrees"
44:32.0,"Roll: -15.48 degrees, Pitch: -25.61 degrees"
44:32.0,"Roll: -19.96 degrees, Pitch: -26.75 degrees"
44:32.1,"Roll: -21.55 degrees, Pitch: -24.45 degrees"
44:32.1,"Roll: -23.80 degrees, Pitch: -22.73 degrees"
44:32.1,"Roll: -27.59 degrees, Pitch: -22.87 degrees"
44:32.1,"Roll: -32.75 degrees, Pitch: -18.96 degrees"
44:32.1,"Roll: -38.55 degrees, Pitch: -15.32 degrees"
44:32.1,"Roll: -41.38 degrees, Pitch: -13.65 degrees"
44:32.1,"Roll: -39.93 degrees, Pitch: -13.55 degrees"
44:32.1,"Roll: -37.25 degrees, Pitch: -11.76 degrees"
44:32.1,"Roll: -34.57 degrees, Pitch: -8.00 degrees"
44:32.2,"Roll: -27.36 degrees, Pitch: -5.20 degrees"
44:32.2,"Roll: -5.16 degrees, Pitch: 1.78 degrees"
44:32.2,"Roll: -23.35 degrees, Pitch: 7.26 degrees"
44:32.2,"Roll: -50.67 degrees, Pitch: 21.04 degrees"
44:32.2,"Roll: -28.49 degrees, Pitch: 14.88 degrees"
44:32.2,"Roll: -26.27 degrees, Pitch: 9.36 degrees"
44:32.2,"Roll: -26.40 degrees, Pitch: -0.53 degrees"
44:32.2,"Roll: -25.41 degrees, Pitch: -4.71 degrees"
44:32.2,"Roll: -17.24 degrees, Pitch: -6.25 degrees"
44:32.3,"Roll: -13.81 degrees, Pitch: -7.52 degrees"
